fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,,
titles01/tt0367110,tt0367110,Swades: We\,the People (2004),swades we the people,http://www.imdb.com/title/tt0367110/,8.5,27617,12600,2004,video.movie,12,23,0,0,189,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
titles01/tt0372784,tt0372784,Batman Begins (2005),batman begins,http://www.imdb.com/title/tt0372784/,8.3,659591,8400,2005,video.movie,9,44,202,6136,2607,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0381681,tt0381681,Before Sunset (2004),before sunset,http://www.imdb.com/title/tt0381681/,8.1,113580,4800,2004,video.movie,8,12,34,719,467,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
titles01/tt0395169,tt0395169,Hotel Ruanda (2004),hotel ruanda,http://www.imdb.com/title/tt0395169/,8.2,195628,7260,2004,video.movie,14,34,27,461,582,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0401383,tt0401383,Schmetterling und Taucherglocke (2007),schmetterling und taucherglocke,http://www.imdb.com/title/tt0401383/,8.1,75965,6720,2007,video.movie,56,41,33,337,167,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0401792,tt0401792,Sin City (2005),sin city,http://www.imdb.com/title/tt0401792/,8.2,491210,7440,2005,video.movie,21,29,212,5239,1677,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
titles01/tt0405094,tt0405094,Das Leben der Anderen (2006),das leben der anderen,http://www.imdb.com/title/tt0405094/,8.5,185524,8220,2006,video.movie,66,25,25,402,371,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
titles01/tt0405159,tt0405159,Million Dollar Baby (2004),million dollar baby,http://www.imdb.com/title/tt0405159/,8.1,334315,7920,2004,video.movie,58,34,48,1457,1068,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
titles01/tt0405508,tt0405508,Kill Bill: Vol. 1 (2003),rang de basanti,http://www.imdb.com/title/tt0405508/,8.6,36778,9420,2006,video.movie,16,18,3,335,294,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0407887,tt0407887,Departed - Unter Feinden (2006),departed unter feinden,http://www.imdb.com/title/tt0407887/,8.5,598844,9060,2006,video.movie,64,63,83,3043,1954,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
titles01/tt0434409,tt0434409,V wie Vendetta (2005),v wie vendetta,http://www.imdb.com/title/tt0434409/,8.2,557042,7920,2005,video.movie,4,17,70,1459,1980,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,
titles01/tt0435761,tt0435761,Toy Story 3 (2010),toy story,http://www.imdb.com/title/tt0435761/,8.5,356405,6180,2010,video.movie,36,44,97,5842,657,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0440963,tt0440963,Das Bourne Ultimatum (2007),das bourne ultimatum,http://www.imdb.com/title/tt0440963/,8.1,350787,6900,2007,video.movie,17,27,82,1639,790,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
titles01/tt0457430,tt0457430,Pans Labyrinth (2006),pans labyrinth,http://www.imdb.com/title/tt0457430/,8.3,339845,7080,2006,video.movie,76,63,50,81,1025,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
titles01/tt0468569,tt0468569,The Dark Knight (2008),the dark knight,http://www.imdb.com/title/tt0468569/,9,1148515,9120,2008,video.movie,94,69,107,17229,3930,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0469494,tt0469494,There Will Be Blood (2007),there will be blood,http://www.imdb.com/title/tt0469494/,8.1,272992,9480,2007,video.movie,74,58,65,2075,1053,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0477348,tt0477348,No Country for Old Men (2007),no country for old men,http://www.imdb.com/title/tt0477348/,8.2,434032,7320,2007,video.movie,110,51,61,3101,1416,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
titles01/tt0482571,tt0482571,Prestige - Die Meister der Magie (2006),prestige die meister der magie,http://www.imdb.com/title/tt0482571/,8.5,555345,7800,2006,video.movie,4,17,57,796,1011,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
titles01/tt0758758,tt0758758,Into the Wild (2007),into the wild,http://www.imdb.com/title/tt0758758/,8.2,292747,8880,2007,video.movie,18,43,67,880,683,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0796366,tt0796366,Star Trek (2009),star trek,http://www.imdb.com/title/tt0796366/,8.1,401744,7620,2009,video.movie,19,47,201,15161,1499,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
titles01/tt0848228,tt0848228,Marvel's The Avengers (2012),marvel s the avengers,http://www.imdb.com/title/tt0848228/,8.2,638083,8580,2012,video.movie,22,55,324,21466,1550,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0892769,tt0892769,Drachenzähmen leicht gemacht (2010),drachenz hmen leicht gemacht,http://www.imdb.com/title/tt0892769/,8.2,285643,5880,2010,video.movie,19,32,51,3545,414,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0910970,tt0910970,WALL·E - Der letzte räumt die Erde auf (2008),wall e der letzte r umt die erde auf,http://www.imdb.com/title/tt0910970/,8.5,476415,5880,2008,video.movie,52,49,71,751,966,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0947798,tt0947798,Black Swan (2010),black swan,http://www.imdb.com/title/tt0947798/,8.1,413273,6480,2010,video.movie,57,125,119,10527,1057,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
titles01/tt0978762,tt0978762,Mary & Max\, oder - Schrumpfen Schafe\,wenn es regnet (2009),mary max oder schrumpfen schafe wenn es regnet,http://www.imdb.com/title/tt0978762/,8.2,77311,5520,2009,video.movie,4,6,15,108,133,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0986264,tt0986264,Taare Zameen Par (2007),taare zameen par,http://www.imdb.com/title/tt0986264/,8.6,48238,9900,2007,video.movie,13,15,2,325,261,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt0993846,tt0993846,The Wolf of Wall Street (2013),the wolf of wall street,http://www.imdb.com/title/tt0993846/,8.4,285401,10800,2013,video.movie,17,62,73,3597,779,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1010048,tt1010048,Slumdog Millionär (2008),slumdog million r,http://www.imdb.com/title/tt1010048/,8.1,470400,7200,2008,video.movie,114,62,27,6741,972,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,
titles01/tt1028532,tt1028532,Hachiko - Eine wunderbare Freundschaft (2009),hachiko eine wunderbare freundschaft,http://www.imdb.com/title/tt1028532/,8.2,76285,5580,2009,video.movie,0,0,9,30,239,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1049413,tt1049413,Oben (2009),oben,http://www.imdb.com/title/tt1049413/,8.3,425870,5760,2009,video.movie,53,37,68,2379,644,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1130884,tt1130884,Shutter Island (2010),shutter island,http://www.imdb.com/title/tt1130884/,8.1,495936,8280,2010,video.movie,4,27,56,3907,884,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
titles01/tt1170358,tt1170358,Der Hobbit - Smaugs Einöde (2013),der hobbit smaugs ein de,http://www.imdb.com/title/tt1170358/,8.1,239935,9660,2013,video.movie,3,40,89,3179,777,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1187043,tt1187043,3 Idiots (2009),idiots,http://www.imdb.com/title/tt1187043/,8.5,103975,10200,2009,video.movie,20,13,20,10,267,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
titles01/tt1201607,tt1201607,Harry Potter und die Heiligtümer des Todes - Teil 2 (2011),harry potter und die heiligt mer des todes teil,http://www.imdb.com/title/tt1201607/,8.1,346862,7800,2011,video.movie,33,49,217,2708,754,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1205489,tt1205489,Gran Torino (2008),gran torino,http://www.imdb.com/title/tt1205489/,8.2,405722,6960,2008,video.movie,20,8,62,1349,815,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1220719,tt1220719,Ip Man (2008),ip man,http://www.imdb.com/title/tt1220719/,8.1,101486,6360,2008,video.movie,12,10,13,406,129,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1255953,tt1255953,Die Frau die singt - Incendies (2010),die frau die singt incendies,http://www.imdb.com/title/tt1255953/,8.2,45292,8340,2010,video.movie,36,10,16,558,118,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,
titles01/tt1291584,tt1291584,Warrior (2011),warrior,http://www.imdb.com/title/tt1291584/,8.3,220357,8400,2011,video.movie,2,10,44,1903,432,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
titles01/tt1305806,tt1305806,In ihren Augen (2009),in ihren augen,http://www.imdb.com/title/tt1305806/,8.3,82183,7740,2009,video.movie,48,34,11,514,197,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,
titles01/tt1345836,tt1345836,The Dark Knight Rises (2012),the dark knight rises,http://www.imdb.com/title/tt1345836/,8.6,758626,9900,2012,video.movie,28,64,131,22240,2576,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
titles01/tt1375666,tt1375666,Inception (2010),inception,http://www.imdb.com/title/tt1375666/,8.8,942259,8880,2010,video.movie,83,110,135,10101,2450,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1392214,tt1392214,Prisoners (2013),prisoners,http://www.imdb.com/title/tt1392214/,8.1,184698,9180,2013,video.movie,6,15,57,1558,445,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
titles01/tt1454029,tt1454029,The Help (2011),the help,http://www.imdb.com/title/tt1454029/,8.1,220355,8760,2011,video.movie,46,68,67,4565,391,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1454468,tt1454468,Gravity (2013),gravity,http://www.imdb.com/title/tt1454468/,8.1,341562,5460,2013,video.movie,104,75,79,4911,1556,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,
titles01/tt1490017,tt1490017,Lego (2014),lego,http://www.imdb.com/title/tt1490017/,8.3,52708,6000,2014,video.movie,1,0,42,1651,225,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1504320,tt1504320,The King's Speech (2010),the king s speech,http://www.imdb.com/title/tt1504320/,8.1,325645,7080,2010,video.movie,86,104,27,5060,592,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1555149,tt1555149,Tropa de Elite 2 - O Inimigo Agora É Outro (2010),tropa de elite o inimigo agora outro,http://www.imdb.com/title/tt1555149/,8.1,46844,6900,2010,video.movie,23,11,7,111,59,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1675434,tt1675434,Ziemlich beste Freunde (2011),ziemlich beste freunde,http://www.imdb.com/title/tt1675434/,8.6,286016,6720,2011,video.movie,25,31,18,457,245,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1798709,tt1798709,Her (2013),her,http://www.imdb.com/title/tt1798709/,8.3,98365,7560,2013,video.movie,42,58,63,2297,389,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,
titles01/tt1832382,tt1832382,Nader und Simin - eine Trennung (2011),nader und simin eine trennung,http://www.imdb.com/title/tt1832382/,8.5,105123,7380,2011,video.movie,60,23,16,39,230,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt1853728,tt1853728,Django Unchained (2012),django unchained,http://www.imdb.com/title/tt1853728/,8.5,568296,9900,2012,video.movie,36,58,108,7971,1012,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
titles01/tt1979320,tt1979320,Rush - Alles für den Sieg (2013),rush alles f r den sieg,http://www.imdb.com/title/tt1979320/,8.3,142959,7380,2013,video.movie,4,33,51,1573,352,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt2024544,tt2024544,12 Years a Slave (2013),years a slave,http://www.imdb.com/title/tt2024544/,8.3,161237,8040,2013,video.movie,131,137,88,351,455,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles01/tt2106476,tt2106476,Die Jagd (2012),die jagd,http://www.imdb.com/title/tt2106476/,8.3,80966,6900,2012,video.movie,29,37,27,220,163,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1013,tt3317282,Videoclub (2013),videoclub,http://www.imdb.com/title/tt3317282/,4.9,18,,2013,video.movie,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
titles02/index.html.1024,tt1216487,Verdammnis (2009),verdammnis,http://www.imdb.com/title/tt1216487/,7.1,55813,7740,2009,video.movie,0,0,21,288,132,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1045,tt0080388,Atlantic City\,USA (1980),atlantic city usa,http://www.imdb.com/title/tt0080388/,7.4,9189,6240,1980,video.movie,27,14,7,0,53,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
titles02/index.html.1050,tt0456396,Das Kind (2005),das kind,http://www.imdb.com/title/tt0456396/,7.4,11521,6000,2005,video.movie,12,12,17,32,78,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
titles02/index.html.1069,tt0433547,Destroy All Humans! (Video Game 2005),destroy all humans video game,http://www.imdb.com/title/tt0433547/,7.9,321,,2005,game,0,0,0,2,5,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.110,tt0462071,The 100 Greatest War Films (TV Movie 2005),the greatest war films tv movie,http://www.imdb.com/title/tt0462071/,5.3,90,23100,2005,video.movie,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1103,tt0955308,Robin Hood (2010),robin hood,http://www.imdb.com/title/tt0955308/,6.7,166816,8400,2010,video.movie,1,11,106,561,530,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1104,tt0317648,Hidalgo - 3000 Meilen zum Ruhm (2004),hidalgo meilen zum ruhm,http://www.imdb.com/title/tt0317648/,6.6,58431,8160,2004,video.movie,1,2,28,160,337,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
titles02/index.html.1105,tt0472043,Apocalypto (2006),apocalypto,http://www.imdb.com/title/tt0472043/,7.8,193604,8340,2006,video.movie,7,14,29,404,1022,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1127,tt3332258,Smashing UK Top 10 Top 10 International Films (TV Episode 2013),smashing uk top top international films tv episode,http://www.imdb.com/title/tt3332258/,,,600,2013,video.episode,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
titles02/index.html.1155,tt0407969,The Magic of Fellini (TV Movie 2002),the magic of fellini tv movie,http://www.imdb.com/title/tt0407969/,6.1,258,3360,2002,video.movie,0,0,2,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1216,tt0918927,Glaubensfrage (2008),glaubensfrage,http://www.imdb.com/title/tt0918927/,7.5,80912,6240,2008,video.movie,19,44,73,1192,302,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1217,tt1149362,Das weiße Band - Eine deutsche Kindergeschichte (2009),das wei e band eine deutsche kindergeschichte,http://www.imdb.com/title/tt1149362/,7.8,41551,8640,2009,video.movie,50,25,40,993,177,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1218,tt1360860,Alles über Elly (2009),alles ber elly,http://www.imdb.com/title/tt1360860/,8.2,14680,7140,2009,video.movie,13,8,5,15,29,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
titles02/index.html.1219,tt0208990,Das Zimmer meines Sohnes (2001),das zimmer meines sohnes,http://www.imdb.com/title/tt0208990/,7.4,12459,5940,2001,video.movie,11,25,14,33,82,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
